code,hex,palette,tone,tier
S 0500-N,#f3f3f3,NCS 2050,Grays,light
S 1000-N,#e6e6e6,NCS 2050,Grays,light
S 2000-N,#cccccc,NCS 2050,Grays,light
S 3000-N,#b3b3b3,NCS 2050,Grays,medium
S 4000-N,#999999,NCS 2050,Grays,medium
S 6000-N,#666666,NCS 2050,Grays,dark
S 8000-N,#333333,NCS 2050,Grays,dark
S 0560-Y,#f5e420,NCS 2050,Yellows,light
S 1060-Y,#e8d418,NCS 2050,Yellows,light
S 2060-Y,#d4c010,NCS 2050,Yellows,light
S 3560-Y,#b09800,NCS 2050,Yellows,medium
S 5060-Y,#7a6a00,NCS 2050,Yellows,medium
S 6560-Y,#524200,NCS 2050,Yellows,dark
S 8060-Y,#2e2400,NCS 2050,Yellows,dark
RAL 3015,#e8a0a0,RAL CLASSIC,Reds,light
RAL 3017,#d46060,RAL CLASSIC,Reds,light
RAL 3018,#c83c3c,RAL CLASSIC,Reds,medium
RAL 3000,#ab2524,RAL CLASSIC,Reds,medium
RAL 3003,#75151e,RAL CLASSIC,Reds,dark
RAL 3007,#2e1014,RAL CLASSIC,Reds,dark
RAL 5024,#a0c0d8,RAL CLASSIC,Blues,light
RAL 5014,#8090b4,RAL CLASSIC,Blues,light
RAL 5012,#3e80a6,RAL CLASSIC,Blues,medium
RAL 5015,#1f83bb,RAL CLASSIC,Blues,medium
RAL 5010,#0e4c76,RAL CLASSIC,Blues,dark
RAL 5002,#20214f,RAL CLASSIC,Blues,dark
CAP-G-10-20,#b8d8a0,CAPAROL 3D SYSTEM PLUS,Greens,light
CAP-G-20-30,#98c880,CAPAROL 3D SYSTEM PLUS,Greens,light
CAP-G-35-40,#72a85c,CAPAROL 3D SYSTEM PLUS,Greens,medium
CAP-G-55-50,#3a6830,CAPAROL 3D SYSTEM PLUS,Greens,medium
CAP-G-65-55,#265018,CAPAROL 3D SYSTEM PLUS,Greens,dark
CAP-G-75-60,#163a10,CAPAROL 3D SYSTEM PLUS,Greens,dark
CAP-N-10-00,#ebebeb,CAPAROL 3D SYSTEM PLUS,Grays,light
CAP-N-35-00,#a8a8a8,CAPAROL 3D SYSTEM PLUS,Grays,medium
CAP-N-50-00,#7e7e7e,CAPAROL 3D SYSTEM PLUS,Grays,medium
CAP-N-80-00,#282828,CAPAROL 3D SYSTEM PLUS,Grays,dark
